time [s];vehicle_speed [km/h];acceleration [m/s^2];slope [°]
156;42;0,027777778;0
157;42,1;0,027777778;0
158;42,2;0,027777778;0
159;42,3;0,055555556;0
160;42,6;0,097222222;0
161;43;0,111111111;0
162;43,4;0,097222222;0
163;43,7;0,097222222;0
164;44,1;0,097222222;0
165;44,4;0,055555556;0
166;44,5;0,027777778;0
167;44,6;0;0
168;44,5;-0,027777778;0
169;44,4;-0,013888889;0
170;44,4;-0,013888889;0
171;44,3;-0,013888889;0
172;44,3;0;0
173;44,3;-0,013888889;0
174;44,2;-0,027777778;0
175;44,1;-0,027777778;0
176;44;-0,027777778;0
177;43,9;-0,027777778;0
178;43,8;-0,027777778;0
179;43,7;-0,041666667;0
180;43,5;-0,041666667;0
181;43,4;-0,055555556;0
182;43,1;-0,069444444;0
183;42,9;-0,055555556;0
184;42,7;-0,055555556;0
185;42,5;-0,055555556;0
186;42,3;-0,041666667;0
187;42,2;-0,013888889;0
188;42,2;0;0
189;42,2;0,013888889;0
190;42,3;0,027777778;0
191;42,4;0,013888889;0
192;42,4;0,027777778;0
193;42,6;0,055555556;0
194;42,8;0,069444444;0
195;43,1;0,069444444;0
196;43,3;0,041666667;0
197;43,4;0,013888889;0
198;43,4;0;0
199;43,4;-0,027777778;0
200;43,2;-0,069444444;0
201;42,9;-0,083333333;0
202;42,6;-0,097222222;0
203;42,2;-0,097222222;0
204;41,9;-0,097222222;0
205;41,5;-0,125;0
206;41;-0,138888889;0
207;40,5;-0,152777778;0
208;39,9;-0,166666667;0
209;39,3;-0,166666667;0
210;38,7;-0,166666667;0
211;38,1;-0,152777778;0
212;37,6;-0,138888889;0
213;37,1;-0,152777778;0
214;36,5;-0,194444444;0
215;35,7;-0,194444444;0
216;35,1;-0,180555556;0
217;34,4;-0,166666667;0
218;33,9;-0,111111111;0
219;33,6;-0,055555556;0
220;33,5;0;0
221;33,6;0,055555556;0
222;33,9;0,097222222;0
223;34,3;0,125;0
224;34,8;0,125;0
225;35,2;0,111111111;0
226;35,6;0,111111111;0
227;36;0,111111111;0
228;36,4;0,125;0
229;36,9;0,138888889;0
230;37,4;0,138888889;0
231;37,9;0,125;0
232;38,3;0,111111111;0
233;38,7;0,111111111;0
234;39,1;0,083333333;0
235;39,3;0,055555556;0
236;39,5;0,055555556;0
237;39,7;0,055555556;0
238;39,9;0,041666667;0
239;40;0,027777778;0
240;40,1;0,013888889;0
241;40,1;0;0
242;40,1;-0,013888889;0
243;40;-0,041666667;0
244;39,8;-0,027777778;0
245;39,8;0;0
246;39,8;0,013888889;0
247;39,9;0,041666667;0
248;40,1;0,027777778;0
249;40,1;-0,055555556;0
250;39,7;-0,180555556;0
251;38,8;-0,319444444;0
252;37,4;-0,444444444;0
253;35,6;-0,555555556;0
254;33,4;-0,611111111;0
255;31,2;-0,597222222;0
256;29,1;-0,5;0
257;27,6;-0,347222222;0
258;26,6;-0,194444444;0
259;26,2;-0,041666667;0
260;26,3;0,069444444;0
261;26,7;0,166666667;0
262;27,5;0,236111111;0
263;28,4;0,263888889;0
264;29,4;0,277777778;0
265;30,4;0,25;0
266;31,2;0,208333333;0
267;31,9;0,180555556;0
268;32,5;0,152777778;0
269;33;0,125;0
270;33,4;0,111111111;0
271;33,8;0,097222222;0
272;34,1;0,069444444;0
273;34,3;0,027777778;0
274;34,3;-0,055555556;0
275;33,9;-0,138888889;0
276;33,3;-0,180555556;0
277;32,6;-0,208333333;0
278;31,8;-0,263888889;0
279;30,7;-0,305555556;0
280;29,6;-0,291666667;0
281;28,6;-0,25;0
282;27,8;-0,194444444;0
283;27,2;-0,194444444;0
284;26,4;-0,194444444;0
285;25,8;-0,152777778;0
286;25,3;-0,125;0
287;24,9;-0,111111111;0
288;24,5;-0,097222222;0
289;24,2;-0,069444444;0
290;24;-0,055555556;0
291;23,8;-0,055555556;0
292;23,6;-0,041666667;0
293;23,5;-0,027777778;0
294;23,4;-0,027777778;0
295;23,3;-0,013888889;0
296;23,3;-0,013888889;0
297;23,2;-0,027777778;0
298;23,1;-0,027777778;0
299;23;-0,041666667;0
300;22,8;-0,069444444;0
301;22,5;-0,097222222;0
302;22,1;-0,111111111;0
303;21,7;-0,138888889;0
304;21,1;-0,180555556;0
305;20,4;-0,222222222;0
306;19,5;-0,263888889;0
307;18,5;-0,263888889;0
308;17,6;-0,263888889;0
309;16,6;-0,263888889;0
310;15,7;-0,236111111;0
311;14,9;-0,194444444;0
312;14,3;-0,152777778;0
313;13,8;-0,097222222;0
314;13,6;-0,055555556;0
315;13,4;-0,027777778;0
316;13,4;0,013888889;0
317;13,5;0,013888889;0
318;13,5;0;0
319;13,5;-0,013888889;0
320;13,4;-0,027777778;0
321;13,3;-0,041666667;0
322;13,1;-0,055555556;0
323;12,9;-0,027777778;0
324;12,9;-0,013888889;0
325;12,8;0,013888889;0
326;13;0,083333333;0
327;13,4;0,111111111;0
328;13,8;0,097222222;0
329;14,1;0,055555556;0
330;14,2;0,041666667;0
331;14,4;0,041666667;0
332;14,5;0,013888889;0
333;14,5;-0,013888889;0
334;14,4;-0,027777778;0
335;14,3;-0,013888889;0
336;14,3;-0,041666667;0
337;14;-0,180555556;0
338;13;-0,361111111;0
339;11,4;-0,527777778;0
340;9,2;-0,625;0
341;6,9;-0,611111111;0
342;4,8;-0,5;0
343;3,3;-0,347222222;0
344;2,3;-0,194444444;0
345;1,9;-0,083333333;0
346;1,7;-0,041666667;0
347;1,6;-0,041666667;0
348;1,4;-0,041666667;0
349;1,3;-0,027777778;0
350;1,2;-0,027777778;0
351;1,1;-0,027777778;0
352;1;-0,041666667;0
353;0,8;-0,055555556;0
354;0,6;-0,111111111;0
355;0;-0,083333333;0
356;0;0;0
357;0;0;0
358;0;0;0
359;0;0;0
360;0;0,305555556;0
361;2,2;0,625;0
362;4,5;0,611111111;0
363;6,6;0,569444444;0
364;8,6;0,555555556;0
365;10,6;0,541666667;0
366;12,5;0,527777778;0
367;14,4;0,527777778;0
368;16,3;0,486111111;0
369;17,9;0,388888889;0
370;19,1;0,277777778;0
371;19,9;0,166666667;0
372;20,3;0,083333333;0
373;20,5;0,055555556;0
374;20,7;0,069444444;0
375;21;0,125;0
376;21,6;0,222222222;0
377;22,6;0,291666667;0
378;23,7;0,305555556;0
379;24,8;0,277777778;0
380;25,7;0,194444444;0
381;26,2;0,097222222;0
382;26,4;0,027777778;0
383;26,4;0;0
384;26,4;0,013888889;0
385;26,5;0,027777778;0
386;26,6;0,041666667;0
387;26,8;0,041666667;0
388;26,9;0,055555556;0
389;27,2;0,083333333;0
390;27,5;0,111111111;0
391;28;0,180555556;0
392;28,8;0,263888889;0
393;29,9;0,305555556;0
394;31;0,277777778;0
395;31,9;0,208333333;0
396;32,5;0,097222222;0
397;32,6;-0,013888889;0
398;32,4;-0,083333333;0
399;32;-0,152777778;0
400;31,3;-0,236111111;0
401;30,3;-0,388888889;0
402;28,5;-0,569444444;0
403;26,2;-0,680555556;0
404;23,6;-0,708333333;0
405;21,1;-0,638888889;0
406;19;-0,5;0
407;17,5;-0,416666667;0
408;16;-0,486111111;0
409;14;-0,638888889;0
410;11,4;-0,777777778;0
411;8,4;-0,847222222;0
412;5,3;-0,763888889;0
413;2,9;-0,736111111;0
414;0;-0,402777778;0
415;0;0;0
416;0;0;0
417;0;0;0
418;0;0;0
419;0;0;0
420;0;0;0
421;0;0;0
422;0;0;0
423;0;0;0
424;0;0;0
425;0;0;0
426;0;0;0
427;0;0;0
428;0;0;0
429;0;0;0
430;0;0;0
431;0;0;0
432;0;0;0
433;0;0;0
434;0;0;0
435;0;0;0
436;0;0;0
437;0;0;0
438;0;0;0
439;0;0;0
440;0;0;0
441;0;0;0
442;0;0;0
443;0;0;0
444;0;0;0
445;0;0;0
446;0;0;0
447;0;0;0
448;0;0;0
449;0;0;0
450;0;0;0
451;0;0;0
452;0;0;0
453;0;0;0
454;0;0;0
455;0;0;0
456;0;0;0
457;0;0;0
458;0;0;0
459;0;0;0
460;0;0;0
461;0;0;0
462;0;0;0
463;0;0;0
464;0;0;0
465;0;0;0
466;0;0;0
467;0;0;0
468;0;0;0
469;0;0;0
470;0;0;0
471;0;0;0
472;0;0;0
473;0;0;0
474;0;0;0
475;0;0;0
476;0;0;0
477;0;0;0
478;0;0;0
479;0;0;0
480;0;0,222222222;0
481;1,6;0,430555556;0
482;3,1;0,402777778;0
483;4,5;0,416666667;0
484;6,1;0,430555556;0
485;7,6;0,458333333;0
486;9,4;0,513888889;0
487;11,3;0,541666667;0
488;13,3;0,513888889;0
489;15;0,5;0
490;16,9;0,486111111;0
491;18,5;0,444444444;0
492;20,1;0,444444444;0
493;21,7;0,430555556;0
494;23,2;0,402777778;0
495;24,6;0,361111111;0
496;25,8;0,402777778;0
497;27,5;0,430555556;0
498;28,9;0,416666667;0
499;30,5;0,444444444;0
500;32,1;0,458333333;0
501;33,8;0,444444444;0
502;35,3;0,416666667;0
503;36,8;0,416666667;0
504;38,3;0,388888889;0
505;39,6;0,319444444;0
506;40,6;0,236111111;0
507;41,3;0,194444444;0
508;42;0,166666667;0
509;42,5;0,166666667;0
510;43,2;0,222222222;0
511;44,1;0,222222222;0
512;44,8;0,166666667;0
513;45,3;0,097222222;0
514;45,5;0,027777778;0
515;45,5;-0,041666667;0
516;45,2;-0,111111111;0
517;44,7;-0,138888889;0
518;44,2;-0,152777778;0
519;43,6;-0,152777778;0
520;43,1;-0,111111111;0
521;42,8;-0,055555556;0
522;42,7;0;0
523;42,8;0,083333333;0
524;43,3;0,152777778;0
525;43,9;0,180555556;0
526;44,6;0,208333333;0
527;45,4;0,236111111;0
528;46,3;0,25;0
529;47,2;0,208333333;0
530;47,8;0,138888889;0
531;48,2;0,097222222;0
532;48,5;0,069444444;0
533;48,7;0,055555556;0
534;48,9;0,055555556;0
535;49,1;0,027777778;0
536;49,1;-0,013888889;0
537;49;-0,041666667;0
538;48,8;-0,055555556;0
539;48,6;-0,041666667;0
540;48,5;0;0
541;48,6;0,027777778;0
542;48,7;0;0
543;48,6;-0,069444444;0
544;48,2;-0,152777778;0
545;47,5;-0,208333333;0
546;46,7;-0,25;0
547;45,7;-0,291666667;0
548;44,6;-0,388888889;0
549;42,9;-0,527777778;0
550;40,8;-0,652777778;0
551;38,2;-0,763888889;0
552;35,3;-0,888888889;0
553;31,8;-0,916666667;0
554;28,7;-0,833333333;0
555;25,8;-0,805555556;0
556;22,9;-0,777777778;0
557;20,2;-0,708333333;0
558;17,8;-0,652777778;0
559;15,5;-0,625;0
560;13,3;-0,583333333;0
561;11,3;-0,555555556;0
562;9,3;-0,541666667;0
563;7,4;-0,527777778;0
564;5,5;-0,513888889;0
565;3,7;-0,458333333;0
566;2,2;-0,513888889;0
567;0;-0,305555556;0
568;0;0;0
569;0;0;0
570;0;0;0
571;0;0;0
572;0;0;0
573;0;0;0
574;0;0;0
575;0;0;0
576;0;0;0
577;0;0;0
578;0;0;0
579;0;0;0
580;0;0;0
581;0;0;0
582;0;0;0
583;0;0;0
584;0;0;0
585;0;0;0
586;0;0;0
587;0;0;0
588;0;0;0
589;0;0;0
590;0;0;0
591;0;0;0
592;0;0;0
593;0;0;0
594;0;0;0
595;0;0;0
596;0;0;0
597;0;0;0
598;0;0;0
599;0;0,083333333;0
600;0,6;0,263888889;0
601;1,9;0,291666667;0
602;2,7;0,458333333;0
603;5,2;0,597222222;0
604;7;0,583333333;0
605;9,4;0,625;0
606;11,5;0,611111111;0
607;13,8;0,611111111;0
608;15,9;0,597222222;0
609;18,1;0,555555556;0
610;19,9;0,513888889;0
611;21,8;0,486111111;0
612;23,4;0,402777778;0
613;24,7;0,333333333;0
614;25,8;0,277777778;0
615;26,7;0,194444444;0
616;27,2;0,138888889;0
617;27,7;0,125;0
618;28,1;0,097222222;0
619;28,4;0,083333333;0
620;28,7;0,083333333;0
621;29;0,069444444;0
622;29,2;0,055555556;0
623;29,4;0,027777778;0
624;29,4;-0,013888889;0
625;29,3;-0,069444444;0
626;28,9;-0,111111111;0
627;28,5;-0,111111111;0
628;28,1;-0,125;0
629;27,6;-0,166666667;0
630;26,9;-0,222222222;0
631;26;-0,319444444;0
632;24,6;-0,444444444;0
633;22,8;-0,5;0
634;21;-0,458333333;0
635;19,5;-0,333333333;0
636;18,6;-0,152777778;0
637;18,4;0,055555556;0
638;19;0,236111111;0
639;20,1;0,347222222;0
640;21,5;0,416666667;0
641;23,1;0,472222222;0
642;24,9;0,458333333;0
643;26,4;0,416666667;0
644;27,9;0,388888889;0
645;29,2;0,361111111;0
646;30,5;0,333333333;0
647;31,6;0,319444444;0
648;32,8;0,319444444;0
649;33,9;0,333333333;0
650;35,2;0,333333333;0
651;36,3;0,319444444;0
652;37,5;0,305555556;0
653;38,5;0,305555556;0
654;39,7;0,319444444;0
655;40,8;0,277777778;0
656;41,7;0,236111111;0
657;42,5;0,208333333;0
658;43,2;0,166666667;0
659;43,7;0,125;0
660;44,1;0,097222222;0
661;44,4;0,097222222;0
662;44,8;0,097222222;0
663;45,1;0,111111111;0
664;45,6;0,125;0
665;46;0,125;0
666;46,5;0,138888889;0
667;47;0,138888889;0
668;47,5;0,138888889;0
669;48;0,152777778;0
670;48,6;0,152777778;0
671;49,1;0,152777778;0
672;49,7;0,166666667;0
673;50,3;0,152777778;0
674;50,8;0,125;0
675;51,2;0,138888889;0
676;51,8;0,152777778;0
677;52,3;0,152777778;0
678;52,9;0,152777778;0
679;53,4;0,152777778;0
680;54;0,152777778;0
681;54,5;0,138888889;0
682;55;0,152777778;0
683;55,6;0,166666667;0
684;56,2;0,152777778;0
685;56,7;0,152777778;0
686;57,3;0,166666667;0
687;57,9;0,152777778;0
688;58,4;0,125;0
689;58,8;0,069444444;0
690;58,9;-0,055555556;0
691;58,4;-0,111111111;0
692;58,1;-0,111111111;0
693;57,6;-0,166666667;0
694;56,9;-0,180555556;0
695;56,3;-0,166666667;0
696;55,7;-0,152777778;0
697;55,2;-0,111111111;0
698;54,9;-0,083333333;0
699;54,6;-0,069444444;0
700;54,4;-0,027777778;0
701;54,4;0;0
702;54,4;-0,013888889;0
703;54,3;-0,027777778;0
704;54,2;-0,055555556;0
705;53,9;-0,097222222;0
706;53,5;-0,111111111;0
707;53,1;-0,125;0
708;52,6;-0,138888889;0
709;52,1;-0,125;0
710;51,7;-0,069444444;0
711;51,6;-0,027777778;0
712;51,5;0,013888889;0
713;51,7;0,069444444;0
714;52;0,083333333;0
715;52,3;0,097222222;0
716;52,7;0,083333333;0
717;52,9;0,055555556;0
718;53,1;0,055555556;0
719;53,3;0,027777778;0
720;53,3;0;0
721;53,3;0;0
722;53,3;0,013888889;0
723;53,4;0,027777778;0
724;53,5;0,055555556;0
725;53,8;0,111111111;0
726;54,3;0,138888889;0
727;54,8;0,166666667;0
728;55,5;0,208333333;0
729;56,3;0,222222222;0
730;57,1;0,222222222;0
731;57,9;0,236111111;0
732;58,8;0,236111111;0
733;59,6;0,222222222;0
734;60,4;0,208333333;0
735;61,1;0,152777778;0
736;61,5;0,083333333;0
737;61,7;0,041666667;0
738;61,8;0,013888889;0
739;61,8;-0,027777778;0
740;61,6;-0,083333333;0
741;61,2;-0,111111111;0
742;60,8;-0,111111111;0
743;60,4;-0,138888889;0
744;59,8;-0,138888889;0
745;59,4;-0,125;0
746;58,9;-0,125;0
747;58,5;-0,111111111;0
748;58,1;-0,083333333;0
749;57,9;-0,055555556;0
750;57,7;-0,055555556;0
751;57,5;-0,055555556;0
752;57,3;-0,069444444;0
753;57;-0,083333333;0
754;56,7;-0,083333333;0
755;56,4;-0,041666667;0
756;56,4;0,027777778;0
757;56,6;0,069444444;0
758;56,9;0,111111111;0
759;57,4;0,166666667;0
760;58,1;0,208333333;0
761;58,9;0,236111111;0
762;59,8;0,236111111;0
763;60,6;0,222222222;0
764;61,4;0,222222222;0
765;62,2;0,222222222;0
766;63;0,208333333;0
767;63,7;0,166666667;0
768;64,2;0,097222222;0
769;64,4;0,027777778;0
770;64,4;-0,055555556;0
771;64;-0,125;0
772;63,5;-0,152777778;0
773;62,9;-0,166666667;0
774;62,3;-0,152777778;0
775;61,8;-0,111111111;0
776;61,5;-0,069444444;0
777;61,3;-0,027777778;0
778;61,3;-0,013888889;0
779;61,2;-0,055555556;0
780;60,9;-0,111111111;0
781;60,4;-0,166666667;0
782;59,7;-0,194444444;0
783;59;-0,208333333;0
784;58,2;-0,25;0
785;57,2;-0,277777778;0
786;56,2;-0,263888889;0
787;55,3;-0,25;0
788;54,4;-0,25;0
789;53,5;-0,263888889;0
790;52,5;-0,291666667;0
791;51,4;-0,291666667;0
792;50,4;-0,277777778;0
793;49,4;-0,263888889;0
794;48,5;-0,263888889;0
795;47,5;-0,277777778;0
796;46,5;-0,277777778;0
797;45,5;-0,305555556;0
798;44,3;-0,319444444;0
799;43,2;-0,319444444;0
800;42;-0,347222222;0
801;40,7;-0,333333333;0
802;39,6;-0,291666667;0
803;38,6;-0,25;0
804;37,8;-0,166666667;0
805;37,4;-0,097222222;0
806;37,1;-0,069444444;0
807;36,9;-0,013888889;0
808;37;0,069444444;0
809;37,4;0,111111111;0
810;37,8;0,111111111;0
811;38,2;0,111111111;0
812;38,6;0,111111111;0
813;39;0,125;0
814;39,5;0,152777778;0
815;40,1;0,152777778;0
816;40,6;0,152777778;0
817;41,2;0,180555556;0
818;41,9;0,194444444;0
819;42,6;0,208333333;0
820;43,4;0,222222222;0
821;44,2;0,222222222;0
822;45;0,222222222;0
823;45,8;0,25;0
824;46,8;0,263888889;0
825;47,7;0,263888889;0
826;48,7;0,277777778;0
827;49,7;0,277777778;0
828;50,7;0,263888889;0
829;51,6;0,25;0
830;52,5;0,25;0
831;53,4;0,236111111;0
832;54,2;0,208333333;0
833;54,9;0,166666667;0
834;55,4;0,125;0
835;55,8;0,111111111;0
836;56,2;0,083333333;0
837;56,4;0,069444444;0
838;56,7;0,083333333;0
839;57;0,097222222;0
840;57,4;0,125;0
841;57,9;0,166666667;0
842;58,6;0,194444444;0
843;59,3;0,208333333;0
844;60,1;0,208333333;0
845;60,8;0,166666667;0
846;61,3;0,097222222;0
847;61,5;0,027777778;0
848;61,5;-0,013888889;0
849;61,4;-0,041666667;0
850;61,2;-0,111111111;0
851;60,6;-0,166666667;0
852;60;-0,166666667;0
853;59,4;-0,152777778;0
854;58,9;-0,138888889;0
855;58,4;-0,138888889;0
856;57,9;-0,125;0
857;57,5;-0,125;0
858;57;-0,111111111;0
859;56,7;-0,097222222;0
860;56,3;-0,097222222;0
861;56;-0,069444444;0
862;55,8;-0,055555556;0
863;55,6;-0,069444444;0
864;55,3;-0,083333333;0
865;55;-0,097222222;0
866;54,6;-0,083333333;0
867;54,4;-0,055555556;0
868;54,2;-0,055555556;0
869;54;-0,041666667;0
870;53,9;-0,041666667;0
871;53,7;-0,041666667;0
872;53,6;-0,027777778;0
873;53,5;-0,027777778;0
874;53,4;-0,027777778;0
875;53,3;-0,041666667;0
876;53,1;-0,041666667;0
877;53;-0,013888889;0
878;53;0;0
879;53;0,013888889;0
880;53,1;0,041666667;0
881;53,3;0,027777778;0
882;53,3;0;0
883;53,3;-0,027777778;0
884;53,1;-0,069444444;0
885;52,8;-0,125;0
886;52,2;-0,208333333;0
887;51,3;-0,277777778;0
888;50,2;-0,291666667;0
889;49,2;-0,277777778;0
890;48,2;-0,277777778;0
891;47,2;-0,263888889;0
892;46,3;-0,236111111;0
893;45,5;-0,194444444;0
894;44,9;-0,166666667;0
895;44,3;-0,152777778;0
896;43,8;-0,152777778;0
897;43,2;-0,138888889;0
898;42,8;-0,111111111;0
899;42,4;-0,111111111;0
900;42;-0,097222222;0
901;41,7;-0,097222222;0
902;41,3;-0,138888889;0
903;40,7;-0,236111111;0
904;39,6;-0,319444444;0
905;38,4;-0,291666667;0
906;37,5;-0,236111111;0
907;36,7;-0,180555556;0
908;36,2;-0,097222222;0
909;36;0;0
910;36,2;0,138888889;0
911;37;0,25;0
912;38;0,277777778;0
913;39;0,236111111;0
914;39,7;0,166666667;0
915;40,2;0,138888889;0
916;40,7;0,138888889;0
917;41,2;0,138888889;0
918;41,7;0,152777778;0
919;42,3;0,138888889;0
920;42,7;0,125;0
921;43,2;0,125;0
922;43,6;0,111111111;0
923;44;0,083333333;0
924;44,2;0,013888889;0
925;44,1;-0,013888889;0
926;44,1;0;0
927;44,1;0,027777778;0
928;44,3;0,041666667;0
929;44,4;0,027777778;0
930;44,5;0;0
931;44,4;-0,027777778;0
932;44,3;-0,041666667;0
933;44,1;-0,083333333;0
934;43,7;-0,111111111;0
935;43,3;-0,111111111;0
936;42,9;-0,111111111;0
937;42,5;-0,152777778;0
938;41,8;-0,222222222;0
939;40,9;-0,277777778;0
940;39,8;-0,305555556;0
941;38,7;-0,291666667;0
942;37,7;-0,277777778;0
943;36,7;-0,25;0
944;35,9;-0,194444444;0
945;35,3;-0,138888889;0
946;34,9;-0,097222222;0
947;34,6;-0,069444444;0
948;34,4;-0,055555556;0
949;34,2;-0,069444444;0
950;33,9;-0,083333333;0
951;33,6;-0,083333333;0
952;33,3;-0,083333333;0
953;33;-0,069444444;0
954;32,8;-0,083333333;0
955;32,4;-0,125;0
956;31,9;-0,138888889;0
957;31,4;-0,125;0
958;31;-0,111111111;0
959;30,6;-0,097222222;0
960;30,3;-0,111111111;0
961;29,8;-0,166666667;0
962;29,1;-0,180555556;0
963;28,5;-0,194444444;0
964;27,7;-0,236111111;0
965;26,8;-0,263888889;0
966;25,8;-0,263888889;0
967;24,9;-0,222222222;0
968;24,2;-0,152777778;0
969;23,8;-0,111111111;0
970;23,4;-0,125;0
971;22,9;-0,166666667;0
972;22,2;-0,25;0
973;21,1;-0,361111111;0
974;19,6;-0,416666667;0
975;18,1;-0,5;0
976;16;-0,569444444;0
977;14;-0,555555556;0
978;12;-0,513888889;0
979;10,3;-0,486111111;0
980;8,5;-0,527777778;0
981;6,5;-0,541666667;0
982;4,6;-0,472222222;0
983;3,1;-0,375;0
984;1,9;-0,291666667;0
985;1;-0,263888889;0
986;0;-0,138888889;0
987;0;0;0
988;0;0;0
989;0;0;0
990;0;0;0
991;0;0;0
992;0;0;0
993;0;0;0
994;0;0;0
995;0;0;0
996;0;0;0
997;0;0;0
998;0;0;0
999;0;0;0
1000;0;0;0
1001;0;0;0
1002;0;0;0
1003;0;0;0
1004;0;0;0
1005;0;0;0
1006;0;0;0
1007;0;0;0
1008;0;0;0
1009;0;0;0
1010;0;0;0
1011;0;0;0
1012;0;0;0
1013;0;0;0
1014;0;0;0
1015;0;0;0
1016;0;0;0
1017;0;0;0
1018;0;0;0
1019;0;0;0
1020;0;0;0
1021;0;0;0
1022;0;0;0
