time [s];vehicle_speed [km/h];acceleration [m/s^2];slope [°]
156;13;-0,152777778;0
157;12,4;-0,097222222;0
158;12,3;-0,027777778;0
159;12,2;0;0
160;12,3;0,027777778;0
161;12,4;0,027777778;0
162;12,5;0,027777778;0
163;12,6;0,027777778;0
164;12,7;0,041666667;0
165;12,9;0,166666667;0
166;13,9;0,458333333;0
167;16,2;0,75;0
168;19,3;0,916666667;0
169;22,8;0,916666667;0
170;25,9;0,791666667;0
171;28,5;0,569444444;0
172;30;0,083333333;0
173;29,1;-0,361111111;0
174;27,4;-0,541666667;0
175;25,2;-0,5;0
176;23,8;-0,111111111;0
177;24,4;0,305555556;0
178;26;0,722222222;0
179;29,6;0,861111111;0
180;32,2;0,819444444;0
181;35,5;0,75;0
182;37,6;0,555555556;0
183;39,5;0,416666667;0
184;40,6;0,277777778;0
185;41,5;0,194444444;0
186;42;0,125;0
187;42,4;0,138888889;0
188;43;0,25;0
189;44,2;0,402777778;0
190;45,9;0,486111111;0
191;47,7;0,458333333;0
192;49,2;0,319444444;0
193;50;0,138888889;0
194;50,2;0,013888889;0
195;50,1;-0,055555556;0
196;49,8;-0,097222222;0
197;49,4;-0,125;0
198;48,9;-0,125;0
199;48,5;-0,097222222;0
200;48,2;-0,041666667;0
201;48,2;-0,013888889;0
202;48,1;-0,111111111;0
203;47,4;-0,319444444;0
204;45,8;-0,583333333;0
205;43,2;-0,736111111;0
206;40,5;-0,694444444;0
207;38,2;-0,527777778;0
208;36,7;-0,333333333;0
209;35,8;-0,194444444;0
210;35,3;-0,138888889;0
211;34,8;-0,125;0
212;34,4;-0,069444444;0
213;34,3;-0,055555556;0
214;34;-0,069444444;0
215;33,8;-0,055555556;0
216;33,6;-0,041666667;0
217;33,5;-0,013888889;0
218;33,5;-0,013888889;0
219;33,4;-0,027777778;0
220;33,3;-0,013888889;0
221;33,3;-0,013888889;0
222;33,2;-0,027777778;0
223;33,1;-0,013888889;0
224;33,1;-0,027777778;0
225;32,9;-0,041666667;0
226;32,8;-0,027777778;0
227;32,7;-0,027777778;0
228;32,6;-0,055555556;0
229;32,3;-0,097222222;0
230;31,9;-0,138888889;0
231;31,3;-0,138888889;0
232;30,9;-0,111111111;0
233;30,5;-0,055555556;0
234;30,5;0,027777778;0
235;30,7;0,125;0
236;31,4;0,236111111;0
237;32,4;0,319444444;0
238;33,7;0,375;0
239;35,1;0,361111111;0
240;36,3;0,305555556;0
241;37,3;0,222222222;0
242;37,9;0,152777778;0
243;38,4;0,097222222;0
244;38,6;0,055555556;0
245;38,8;0,055555556;0
246;39;0,055555556;0
247;39,2;0,055555556;0
248;39,4;0,041666667;0
249;39,5;0,027777778;0
250;39,6;0,041666667;0
251;39,8;0,055555556;0
252;40;0,097222222;0
253;40,5;0,152777778;0
254;41,1;0,194444444;0
255;41,9;0,236111111;0
256;42,8;0,263888889;0
257;43,8;0,375;0
258;45,5;0,291666667;0
259;45,9;0,041666667;0
260;45,8;-0,069444444;0
261;45,4;-0,138888889;0
262;44,8;-0,111111111;0
263;44,6;0,027777778;0
264;45;0,180555556;0
265;45,9;0,277777778;0
266;47;0,277777778;0
267;47,9;0,180555556;0
268;48,3;0,055555556;0
269;48,3;-0,013888889;0
270;48,2;-0,041666667;0
271;48;-0,069444444;0
272;47,7;-0,111111111;0
273;47,2;-0,166666667;0
274;46,5;-0,277777778;0
275;45,2;-0,388888889;0
276;43,7;-0,444444444;0
277;42;-0,458333333;0
278;40,4;-0,416666667;0
279;39;-0,375;0
280;37,7;-0,361111111;0
281;36,4;-0,347222222;0
282;35,2;-0,291666667;0
283;34,3;-0,194444444;0
284;33,8;-0,138888889;0
285;33,3;-0,180555556;0
286;32,5;-0,333333333;0
287;30,9;-0,541666667;0
288;28,6;-0,694444444;0
289;25,9;-0,763888889;0
290;23,1;-0,805555556;0
291;20,1;-0,805555556;0
292;17,3;-0,694444444;0
293;15,1;-0,5;0
294;13,7;-0,236111111;0
295;13,4;0,027777778;0
296;13,9;0,222222222;0
297;15;0,333333333;0
298;16,3;0,333333333;0
299;17,4;0,263888889;0
300;18,2;0,166666667;0
301;18,6;0,083333333;0
302;18,8;0,055555556;0
303;19;0,097222222;0
304;19,5;0,152777778;0
305;20,1;0,138888889;0
306;20,5;0,013888889;0
307;20,2;-0,263888889;0
308;18,6;-0,513888889;0
309;16,5;-0,583333333;0
310;14,4;-0,430555556;0
311;13,4;-0,208333333;0
312;12,9;-0,097222222;0
313;12,7;-0,069444444;0
314;12,4;-0,041666667;0
315;12,4;0,055555556;0
316;12,8;0,236111111;0
317;14,1;0,472222222;0
318;16,2;0,652777778;0
319;18,8;0,791666667;0
320;21,9;0,861111111;0
321;25;0,902777778;0
322;28,4;0,875;0
323;31,3;0,777777778;0
324;34;0,458333333;0
325;34,6;-0,013888889;0
326;33,9;-0,375;0
327;31,9;-0,541666667;0
328;30;-0,458333333;0
329;28,6;-0,333333333;0
330;27,6;-0,222222222;0
331;27;-0,180555556;0
332;26,3;-0,166666667;0
333;25,8;-0,125;0
334;25,4;-0,097222222;0
335;25,1;-0,097222222;0
336;24,7;-0,138888889;0
337;24,1;-0,166666667;0
338;23,5;-0,277777778;0
339;22,1;-0,416666667;0
340;20,5;-0,430555556;0
341;19;-0,305555556;0
342;18,3;-0,138888889;0
343;18;-0,083333333;0
344;17,7;-0,083333333;0
345;17,4;-0,194444444;0
346;16,3;-0,430555556;0
347;14,3;-0,666666667;0
348;11,5;-0,791666667;0
349;8,6;-0,833333333;0
350;5,5;-0,763888889;0
351;3,1;-0,597222222;0
352;1,2;-0,430555556;0
353;0;-0,166666667;0
354;0;0;0
355;0;0;0
356;0;0;0
357;0;0;0
358;0;0;0
359;0;0,194444444;0
360;1,4;0,444444444;0
361;3,2;0,583333333;0
362;5,6;0,680555556;0
363;8,1;0,652777778;0
364;10,3;0,555555556;0
365;12,1;0,375;0
366;13;0,194444444;0
367;13,5;0,166666667;0
368;14,2;0,236111111;0
369;15,2;0,347222222;0
370;16,7;0,430555556;0
371;18,3;0,430555556;0
372;19,8;0,375;0
373;21;0,319444444;0
374;22,1;0,347222222;0
375;23,5;0,416666667;0
376;25,1;0,5;0
377;27,1;0,541666667;0
378;29;0,472222222;0
379;30,5;0,305555556;0
380;31,2;0,097222222;0
381;31,2;-0,069444444;0
382;30,7;-0,194444444;0
383;29,8;-0,291666667;0
384;28,6;-0,333333333;0
385;27,4;-0,277777778;0
386;26,6;-0,180555556;0
387;26,1;-0,125;0
388;25,7;-0,166666667;0
389;24,9;-0,263888889;0
390;23,8;-0,347222222;0
391;22,4;-0,347222222;0
392;21,3;-0,236111111;0
393;20,7;-0,166666667;0
394;20,1;-0,208333333;0
395;19,2;-0,347222222;0
396;17,6;-0,416666667;0
397;16,2;-0,319444444;0
398;15,3;-0,208333333;0
399;14,7;-0,152777778;0
400;14,2;-0,138888889;0
401;13,7;-0,111111111;0
402;13,4;-0,097222222;0
403;13;-0,083333333;0
404;12,8;-0,069444444;0
405;12,5;-0,097222222;0
406;12,1;-0,194444444;0
407;11,1;-0,347222222;0
408;9,6;-0,513888889;0
409;7,4;-0,652777778;0
410;4,9;-0,625;0
411;2,9;-0,513888889;0
412;1,2;-0,402777778;0
413;0;-0,166666667;0
414;0;0;0
415;0;0;0
416;0;0;0
417;0;0;0
418;0;0;0
419;0;0;0
420;0;0;0
421;0;0;0
422;0;0;0
423;0;0;0
424;0;0;0
425;0;0;0
426;0;0;0
427;0;0;0
428;0;0;0
429;0;0;0
430;0;0;0
431;0;0;0
432;0;0;0
433;0;0;0
434;0;0;0
435;0;0;0
436;0;0;0
437;0;0;0
438;0;0;0
439;0;0;0
440;0;0;0
441;0;0;0
442;0;0;0
443;0;0;0
444;0;0;0
445;0;0;0
446;0;0;0
447;0;0;0
448;0;0;0
449;0;0;0
450;0;0;0
451;0;0;0
452;0;0;0
453;0;0;0
454;0;0;0
455;0;0;0
456;0;0;0
457;0;0;0
458;0;0;0
459;0;0;0
460;0;0;0
461;0;0;0
462;0;0;0
463;0;0;0
464;0;0;0
465;0;0;0
466;0;0;0
467;0;0;0
468;0;0;0
469;0;0;0
470;0;0;0
471;0;0;0
472;0;0;0
473;0;0;0
474;0;0;0
475;0;0;0
476;0;0;0
477;0;0;0
478;0;0;0
479;0;0;0
480;0;0,194444444;0
481;1,4;0,347222222;0
482;2,5;0,527777778;0
483;5,2;0,75;0
484;7,9;0,708333333;0
485;10,3;0,680555556;0
486;12,8;0,666666667;0
487;15,1;0,638888889;0
488;17,4;0,625;0
489;19,6;0,611111111;0
490;21,8;0,666666667;0
491;24,4;0,652777778;0
492;26,5;0,611111111;0
493;28,8;0,569444444;0
494;30,6;0,444444444;0
495;32;0,305555556;0
496;32,8;0,180555556;0
497;33,3;0,166666667;0
498;34;0,236111111;0
499;35;0,291666667;0
500;36,1;0,222222222;0
501;36,6;0,111111111;0
502;36,9;0,069444444;0
503;37,1;0,097222222;0
504;37,6;0,125;0
505;38;0,069444444;0
506;38,1;-0,041666667;0
507;37,7;-0,166666667;0
508;36,9;-0,222222222;0
509;36,1;-0,166666667;0
510;35,7;-0,027777778;0
511;35,9;0,111111111;0
512;36,5;0,263888889;0
513;37,8;0,375;0
514;39,2;0,388888889;0
515;40,6;0,375;0
516;41,9;0,319444444;0
517;42,9;0,236111111;0
518;43,6;0,166666667;0
519;44,1;0,125;0
520;44,5;0,111111111;0
521;44,9;0,125;0
522;45,4;-0,055555556;0
523;44,5;-0,402777778;0
524;42,5;-0,694444444;0
525;39,5;-0,833333333;0
526;36,5;-0,833333333;0
527;33,5;-0,847222222;0
528;30,4;-0,902777778;0
529;27;-0,944444444;0
530;23,6;-0,833333333;0
531;21;-0,430555556;0
532;20,5;0,180555556;0
533;22,3;0,597222222;0
534;24,8;0,777777778;0
535;27,9;0,763888889;0
536;30,3;0,736111111;0
537;33,2;0,708333333;0
538;35,4;0,666666667;0
539;38;0,652777778;0
540;40,1;0,652777778;0
541;42,7;0,611111111;0
542;44,5;0,5;0
543;46,3;0,430555556;0
544;47,6;0,347222222;0
545;48,8;0,291666667;0
546;49,7;0,25;0
547;50,6;0,236111111;0
548;51,4;0,111111111;0
549;51,4;-0,166666667;0
550;50,2;-0,5;0
551;47,8;-0,763888889;0
552;44,7;-0,875;0
553;41,5;-0,902777778;0
554;38,2;-0,847222222;0
555;35,4;-0,777777778;0
556;32,6;-0,791666667;0
557;29,7;-0,847222222;0
558;26,5;-0,875;0
559;23,4;-0,847222222;0
560;20,4;-0,819444444;0
561;17,5;-0,833333333;0
562;14,4;-0,819444444;0
563;11,6;-0,833333333;0
564;8,4;-0,833333333;0
565;5,6;-0,805555556;0
566;2,6;-0,777777778;0
567;0;-0,361111111;0
568;0;0;0
569;0;0;0
570;0;0;0
571;0;0;0
572;0;0;0
573;0;0;0
574;0;0;0
575;0;0;0
576;0;0;0
577;0;0;0
578;0;0;0
579;0;0;0
580;0;0;0
581;0;0;0
582;0;0;0
583;0;0;0
584;0;0;0
585;0;0;0
586;0;0;0
587;0;0;0
588;0;0;0
589;0;0;0
590;0;0;0
591;0;0;0
592;0;0;0
593;0;0;0
594;0;0;0
595;0;0;0
596;0;0;0
597;0;0;0
598;0;0;0
599;0;0;0
600;0;0,222222222;0
601;1,6;0,5;0
602;3,6;0,652777778;0
603;6,3;0,75;0
604;9;0,763888889;0
605;11,8;0,722222222;0
606;14,2;0,666666667;0
607;16,6;0,597222222;0
608;18,5;0,583333333;0
609;20,8;0,680555556;0
610;23,4;0,847222222;0
611;26,9;0,958333333;0
612;30,3;0,819444444;0
613;32,8;0,527777778;0
614;34,1;0,194444444;0
615;34,2;-0,069444444;0
616;33,6;-0,291666667;0
617;32,1;-0,5;0
618;30;-0,638888889;0
619;27,5;-0,680555556;0
620;25,1;-0,652777778;0
621;22,8;-0,638888889;0
622;20,5;-0,680555556;0
623;17,9;-0,75;0
624;15,1;-0,625;0
625;13,4;-0,319444444;0
626;12,8;0,041666667;0
627;13,7;0,444444444;0
628;16;0,611111111;0
629;18,1;0,666666667;0
630;20,8;0,777777778;0
631;23,7;0,791666667;0
632;26,5;0,777777778;0
633;29,3;0,763888889;0
634;32;0,722222222;0
635;34,5;0,666666667;0
636;36,8;0,569444444;0
637;38,6;0,416666667;0
638;39,8;0,277777778;0
639;40,6;0,180555556;0
640;41,1;0,180555556;0
641;41,9;0,236111111;0
642;42,8;0,333333333;0
643;44,3;0,402777778;0
644;45,7;0,430555556;0
645;47,4;0,444444444;0
646;48,9;0,444444444;0
647;50,6;0,430555556;0
648;52;0,430555556;0
649;53,7;0,416666667;0
650;55;0,430555556;0
651;56,8;0,416666667;0
652;58;0,416666667;0
653;59,8;0,430555556;0
654;61,1;0,361111111;0
655;62,4;0,263888889;0
656;63;0,152777778;0
657;63,5;0;0
658;63;-0,208333333;0
659;62;-0,361111111;0
660;60,4;-0,472222222;0
661;58,6;-0,513888889;0
662;56,7;-0,5;0
663;55;-0,416666667;0
664;53,7;-0,319444444;0
665;52,7;-0,25;0
666;51,9;-0,180555556;0
667;51,4;-0,125;0
668;51;-0,097222222;0
669;50,7;-0,055555556;0
670;50,6;0,013888889;0
671;50,8;0,083333333;0
672;51,2;0,125;0
673;51,7;0,152777778;0
674;52,3;0,194444444;0
675;53,1;0,208333333;0
676;53,8;0,194444444;0
677;54,5;0,180555556;0
678;55,1;0,194444444;0
679;55,9;0,194444444;0
680;56,5;0,166666667;0
681;57,1;0,180555556;0
682;57,8;0,194444444;0
683;58,5;0,208333333;0
684;59,3;0,236111111;0
685;60,2;0,277777778;0
686;61,3;0,305555556;0
687;62,4;0,291666667;0
688;63,4;0,277777778;0
689;64,4;0,277777778;0
690;65,4;0,263888889;0
691;66,3;0,25;0
692;67,2;0,236111111;0
693;68;0,222222222;0
694;68,8;0,208333333;0
695;69,5;0,180555556;0
696;70,1;0,152777778;0
697;70,6;0,125;0
698;71;0,138888889;0
699;71,6;0,166666667;0
700;72,2;0,166666667;0
701;72,8;0,180555556;0
702;73,5;0,180555556;0
703;74,1;0,111111111;0
704;74,3;0,027777778;0
705;74,3;-0,083333333;0
706;73,7;-0,236111111;0
707;72,6;-0,375;0
708;71;-0,472222222;0
709;69,2;-0,541666667;0
710;67,1;-0,541666667;0
711;65,3;-0,458333333;0
712;63,8;-0,375;0
713;62,6;-0,291666667;0
714;61,7;-0,194444444;0
715;61,2;-0,125;0
716;60,8;-0,069444444;0
717;60,7;0,013888889;0
718;60,9;0,069444444;0
719;61,2;0,111111111;0
720;61,7;0,125;0
721;62,1;0,069444444;0
722;62,2;0,013888889;0
723;62,2;-0,083333333;0
724;61,6;-0,277777778;0
725;60,2;-0,430555556;0
726;58,5;-0,513888889;0
727;56,5;-0,541666667;0
728;54,6;-0,458333333;0
729;53,2;-0,277777778;0
730;52,6;-0,055555556;0
731;52,8;0,125;0
732;53,5;0,222222222;0
733;54,4;0,222222222;0
734;55,1;0,166666667;0
735;55,6;0,055555556;0
736;55,5;-0,097222222;0
737;54,9;-0,194444444;0
738;54,1;-0,236111111;0
739;53,2;-0,277777778;0
740;52,1;-0,333333333;0
741;50,8;-0,375;0
742;49,4;-0,430555556;0
743;47,7;-0,527777778;0
744;45,6;-0,583333333;0
745;43,5;-0,583333333;0
746;41,4;-0,638888889;0
747;38,9;-0,75;0
748;36;-0,861111111;0
749;32,7;-0,916666667;0
750;29,4;-0,902777778;0
751;26,2;-0,819444444;0
752;23,5;-0,625;0
753;21,7;-0,388888889;0
754;20,7;-0,208333333;0
755;20,2;-0,111111111;0
756;19,9;-0,097222222;0
757;19,5;-0,194444444;0
758;18,5;-0,319444444;0
759;17,2;-0,375;0
760;15,8;-0,333333333;0
761;14,8;-0,194444444;0
762;14,4;0,013888889;0
763;14,9;0,208333333;0
764;15,9;0,305555556;0
765;17,1;0,333333333;0
766;18,3;0,319444444;0
767;19,4;0,291666667;0
768;20,4;0,25;0
769;21,2;0,180555556;0
770;21,7;0,069444444;0
771;21,7;-0,055555556;0
772;21,3;-0,194444444;0
773;20,3;-0,305555556;0
774;19,1;-0,333333333;0
775;17,9;-0,305555556;0
776;16,9;-0,25;0
777;16,1;-0,180555556;0
778;15,6;-0,111111111;0
779;15,3;-0,055555556;0
780;15,2;-0,027777778;0
781;15,1;-0,027777778;0
782;15;-0,013888889;0
783;15;0;0
784;15;0;0
785;15;0;0
786;15;-0,027777778;0
787;14,8;-0,069444444;0
788;14,5;-0,097222222;0
789;14,1;-0,138888889;0
790;13,5;-0,152777778;0
791;13;-0,111111111;0
792;12,7;-0,069444444;0
793;12,5;-0,027777778;0
794;12,5;0,013888889;0
795;12,6;0,069444444;0
796;13;0,138888889;0
797;13,6;0,222222222;0
798;14,6;0,291666667;0
799;15,7;0,347222222;0
800;17,1;0,416666667;0
801;18,7;0,430555556;0
802;20,2;0,444444444;0
803;21,9;0,472222222;0
804;23,6;0,486111111;0
805;25,4;0,486111111;0
806;27,1;0,486111111;0
807;28,9;0,458333333;0
808;30,4;0,430555556;0
809;32;0,416666667;0
810;33,4;0,416666667;0
811;35;0,416666667;0
812;36,4;0,430555556;0
813;38,1;0,458333333;0
814;39,7;0,486111111;0
815;41,6;0,5;0
816;43,3;0,486111111;0
817;45,1;0,5;0
818;46,9;0,5;0
819;48,7;0,5;0
820;50,5;0,513888889;0
821;52,4;0,5;0
822;54,1;0,458333333;0
823;55,7;0,402777778;0
824;57;0,347222222;0
825;58,2;0,319444444;0
826;59,3;0,263888889;0
827;60,1;0,222222222;0
828;60,9;0,208333333;0
829;61,6;0,180555556;0
830;62,2;0,152777778;0
831;62,7;0,138888889;0
832;63,2;0,097222222;0
833;63,4;0,041666667;0
834;63,5;0,013888889;0
835;63,5;0,027777778;0
836;63,7;0,069444444;0
837;64;0,125;0
838;64,6;0,180555556;0
839;65,3;0,222222222;0
840;66,2;0,222222222;0
841;66,9;0,222222222;0
842;67,8;0,236111111;0
843;68,6;0,222222222;0
844;69,4;0,208333333;0
845;70,1;0,208333333;0
846;70,9;0,222222222;0
847;71,7;0,222222222;0
848;72,5;0,208333333;0
849;73,2;0,180555556;0
850;73,8;0,166666667;0
851;74,4;0,125;0
852;74,7;0,041666667;0
853;74,7;-0,013888889;0
854;74,6;-0,069444444;0
855;74,2;-0,152777778;0
856;73,5;-0,222222222;0
857;72,6;-0,236111111;0
858;71,8;-0,222222222;0
859;71;-0,236111111;0
860;70,1;-0,222222222;0
861;69,4;-0,166666667;0
862;68,9;-0,138888889;0
863;68,4;-0,138888889;0
864;67,9;-0,180555556;0
865;67,1;-0,291666667;0
866;65,8;-0,444444444;0
867;63,9;-0,611111111;0
868;61,4;-0,763888889;0
869;58,4;-0,833333333;0
870;55,4;-0,833333333;0
871;52,4;-0,75;0
872;50;-0,569444444;0
873;48,3;-0,375;0
874;47,3;-0,208333333;0
875;46,8;-0,055555556;0
876;46,9;0,041666667;0
877;47,1;0,083333333;0
878;47,5;0,097222222;0
879;47,8;0,111111111;0
880;48,3;0,138888889;0
881;48,8;0,166666667;0
882;49,5;0,194444444;0
883;50,2;0,180555556;0
884;50,8;0,166666667;0
885;51,4;0,138888889;0
886;51,8;0,069444444;0
887;51,9;-0,013888889;0
888;51,7;-0,097222222;0
889;51,2;-0,180555556;0
890;50,4;-0,277777778;0
891;49,2;-0,375;0
892;47,7;-0,402777778;0
893;46,3;-0,361111111;0
894;45,1;-0,291666667;0
895;44,2;-0,194444444;0
896;43,7;-0,111111111;0
897;43,4;-0,083333333;0
898;43,1;-0,125;0
899;42,5;-0,180555556;0
900;41,8;-0,194444444;0
901;41,1;-0,208333333;0
902;40,3;-0,194444444;0
903;39,7;-0,138888889;0
904;39,3;-0,069444444;0
905;39,2;0;0
906;39,3;0,055555556;0
907;39,6;0,097222222;0
908;40;0,152777778;0
909;40,7;0,194444444;0
910;41,4;0,208333333;0
911;42,2;0,236111111;0
912;43,1;0,263888889;0
913;44,1;0,236111111;0
914;44,8;0,194444444;0
915;45,5;0,138888889;0
916;45,8;0,097222222;0
917;46,2;0,083333333;0
918;46,4;0,041666667;0
919;46,5;0,013888889;0
920;46,5;0,013888889;0
921;46,6;0;0
922;46,5;-0,013888889;0
923;46,5;-0,013888889;0
924;46,4;-0,013888889;0
925;46,4;0;0
926;46,4;0,013888889;0
927;46,5;0;0
928;46,4;0,013888889;0
929;46,6;0,027777778;0
930;46,6;0,027777778;0
931;46,8;0,013888889;0
932;46,7;0,013888889;0
933;46,9;0,027777778;0
934;46,9;0;0
935;46,9;-0,013888889;0
936;46,8;0,013888889;0
937;47;0,013888889;0
938;46,9;-0,013888889;0
939;46,9;0;0
940;46,9;-0,013888889;0
941;46,8;-0,097222222;0
942;46,2;-0,166666667;0
943;45,6;-0,180555556;0
944;44,9;-0,180555556;0
945;44,3;-0,152777778;0
946;43,8;-0,097222222;0
947;43,6;-0,041666667;0
948;43,5;0;0
949;43,6;0,013888889;0
950;43,6;-0,013888889;0
951;43,5;-0,013888889;0
952;43,5;0;0
953;43,5;-0,013888889;0
954;43,4;-0,041666667;0
955;43,2;-0,055555556;0
956;43;-0,069444444;0
957;42,7;-0,083333333;0
958;42,4;-0,055555556;0
959;42,3;-0,027777778;0
960;42,2;-0,027777778;0
961;42,1;-0,013888889;0
962;42,1;-0,027777778;0
963;41,9;-0,055555556;0
964;41,7;-0,055555556;0
965;41,5;-0,055555556;0
966;41,3;-0,041666667;0
967;41,2;-0,041666667;0
968;41;-0,041666667;0
969;40,9;-0,055555556;0
970;40,6;-0,166666667;0
971;39,7;-0,430555556;0
972;37,5;-0,583333333;0
973;35,5;-0,583333333;0
974;33,3;-0,569444444;0
975;31,4;-0,680555556;0
976;28,4;-0,847222222;0
977;25,3;-0,833333333;0
978;22,4;-0,861111111;0
979;19,1;-0,958333333;0
980;15,5;-0,986111111;0
981;12;-0,930555556;0
982;8,8;-0,833333333;0
983;6;-0,722222222;0
984;3,6;-0,611111111;0
985;1,6;-0,5;0
986;0;-0,222222222;0
987;0;0;0
988;0;0;0
989;0;0;0
990;0;0;0
991;0;0;0
992;0;0;0
993;0;0;0
994;0;0;0
995;0;0;0
996;0;0;0
997;0;0;0
998;0;0;0
999;0;0;0
1000;0;0;0
1001;0;0;0
1002;0;0;0
1003;0;0;0
1004;0;0;0
1005;0;0;0
1006;0;0;0
1007;0;0;0
1008;0;0;0
1009;0;0;0
1010;0;0;0
1011;0;0;0
1012;0;0;0
1013;0;0;0
1014;0;0;0
1015;0;0;0
1016;0;0;0
1017;0;0;0
1018;0;0;0
1019;0;0;0
1020;0;0;0
1021;0;0;0
1022;0;0;0
1023;0;0;0
1024;0;0;0
1025;0;0;0
1026;0;0,152777778;0
1027;1,1;0,416666667;0
1028;3;0,638888889;0
1029;5,7;0,75;0
1030;8,4;0,75;0
1031;11,1;0,777777778;0
1032;14;0,819444444;0
1033;17;0,847222222;0
1034;20,1;0,791666667;0
1035;22,7;0,486111111;0
1036;23,6;0,25;0
1037;24,5;0,166666667;0
1038;24,8;0,027777778;0
1039;24,7;-0,027777778;0
1040;24,6;0,013888889;0
1041;24,8;0,055555556;0
1042;25;0,069444444;0
1043;25,3;0,083333333;0
1044;25,6;0,097222222;0
1045;26;0,069444444;0
1046;26,1;0,041666667;0
1047;26,3;0,069444444;0
1048;26,6;0,083333333;0
1049;26,9;0,097222222;0
1050;27,3;0,111111111;0
1051;27,7;0,111111111;0
1052;28,1;0,111111111;0
1053;28,5;0,166666667;0
1054;29,3;0,263888889;0
1055;30,4;0,347222222;0
1056;31,8;0,458333333;0
1057;33,7;0,555555556;0
1058;35,8;0,569444444;0
1059;37,8;0,513888889;0
1060;39,5;0,416666667;0
1061;40,8;0,319444444;0
1062;41,8;0,222222222;0
1063;42,4;0,166666667;0
1064;43;0,138888889;0
1065;43,4;0,138888889;0
1066;44;0,152777778;0
1067;44,5;0,138888889;0
1068;45;0,138888889;0
1069;45,5;0,152777778;0
1070;46,1;0,138888889;0
1071;46,5;0,111111111;0
1072;46,9;0,125;0
1073;47,4;0,152777778;0
1074;48;0,152777778;0
